artist,track,album,track_id
Lil Youngster,Endless Devotion,Endless Devotion,7BMQnZZ6HcMhXa9Lho8TOB
Lil Youngster,Eternal Embrace,Eternal Embrace,1M0pxAXhTJPAGjEhxPkiru
Journey Christine,Barbie World,Barbie World,1ZqUPDjZkcR2Rn94AKyK6i
Imagine Dragons,Whatever It Takes,Evolve,6Qn5zhYkTa37e91HC1D7lb
Imagine Dragons,Bones,Mercury - Acts 1 & 2,54ipXppHLA8U4yqpOFTUhr
"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,Mercury - Acts 1 & 2,3CIyK1V4JEJkg02E4EJnDl
Doja Cat,Paint The Town Red,Paint The Town Red,2IGMVunIBsBLtEQyoI1Mu7
Daft Punk,Around the World,Homework,1pKYYY0dkg23sQQXi0Q5zN
Ice Spice,Deli,Like..? (Deluxe),5JYPXqMwYc0zTODQdjMEZN
The Yogscast,Diggy Diggy Hole,Diggy Diggy Hole,5AKnUqag3WeX8KFo0L5HzJ
Ice Spice,Think U The Shit (Fart),Think U The Shit (Fart),4w2Furap0ZzaiK4J14E9sR
Dan Bull,Boom Boom Boom Boom Boom Boom Boom Boom Boom Boom Boom Boom Boom,Boom Boom Boom Boom Boom Boom Boom Boom Boom Boom Boom Boom Boom,1EbUvGMGNtR5VoJOXDwgm6
Patient Zero,Dwarf Hole (Diggy Diggy Hole) [Remastered],Dwarf Hole (Diggy Diggy Hole),67t7W0bLP9g2NJvjtapz74
"PinkPantheress, Ice Spice",Boy's a liar Pt. 2,Heaven knows,5CCr8msaN3MhgqBoa9yWhH
"Tobuscus, TeraBrite",I Can Swing My Sword!,I Can Swing My Sword!,7B40TUv35niDQtvjZpnWb6
"SZA, Doja Cat",Kill Bill (feat. Doja Cat),Kill Bill (feat. Doja Cat),0CrcwVLUe8wzLUIXgjXVZJ
Ice Spice,In Ha Mood,In Ha Mood,0yUaLqhsVsguBpoOPL4cO7
a-ha,Take on Me,Hunting High and Low,2WfaOiMkCvy7F5fcp2zZ8L
"Drake, 21 Savage",Rich Flex,Her Loss,1bDbXMyjaUIooNwFE9wn0N
Kendrick Lamar,HUMBLE.,DAMN.,7KXjTSCq5nL1LoYtL7XAwS
Armani White,BILLIE EILISH.,BILLIE EILISH.,27ZZdyTSQWI7Cug2d2PkqV
"Gorillaz, Thundercat",Cracker Island (feat. Thundercat),Cracker Island (feat. Thundercat),2W3ZpQg9i6lE6kmHbcdu9N
"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),MONTERO,5Z9KJZvQzH6PFmb8SNkxuk
Lil Nas X,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),67BtfxlNbhBmCDR2L2l8qd
Olivia Rodrigo,good 4 u,SOUR,4ZtFanR9U6ndgddUvNcjcG
"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),3nqQXoyQOWXiESFLlDF1hG
GAYLE,abcdefu (angrier),abcdefu (angrier),1EQFOouqdKYdpbNoOHRVO2
Glass Animals,Heat Waves,Dreamland,3USxtqRwSYz57Ewm6wWRMp
